text_id,L1,source,text,n_tokens,proficiency,english_ratio,metadata_json
pelic_1230,spanish,pelic,"In each country in the world, the most important thing should be education. Education is really important because people can do many things such as have a career, get a job and earn money.To illustrate,in many rich countries like the United States, Japan and England many people can go to school. Then they can go college and finally they can get an excellent job and they can be a succesful person in their life. For instance,in my country ( Venezuela), people are always worried about get a good education and for this reason people try to find a good school and college for their children to obtain an excellent education; when peopple finish their education, Venezuelan people want to work for our country because we wish that Venezuela were a rich country; we have a rich natural resource like petroleum. However,we think that without education any country could be a poor country.

(Funnel)",153,B2+/C1,1.0,"{""anon_id"": ""ea7"", ""gender"": ""Female"", ""level_id"": ""5"", ""course_id"": ""118"", ""version"": ""1"", ""text_len_nltk"": ""156""}"
pelic_1232,spanish,pelic,"An important person in my life was my grand mother. She passed away last year, she helped me and spoiled when i was young. When I was young, I have been considering be a dentist but I had decided not to go to dental school because my parents did not have enough money;however,my grand mother insisted that i go an excellent college and she also suggested that she would help me by lending some money. I think that if she had not helped me, I would not have been a dentist.I think that if someone have a bit of help, she or he will have a career. On the other hand, I remenber few months before she died she told me if you were you, i would get married because I want to see you in your wedding day but it was not possible because she died five months before i got married but i think that if I had seen her that day, I would have kissed her and told her: thank you for all! my grand mother could not be with me in my wedding but I felt that she was in my heart.",196,B2+/C1,1.0,"{""anon_id"": ""ea7"", ""gender"": ""Female"", ""level_id"": ""5"", ""course_id"": ""154"", ""version"": ""1"", ""text_len_nltk"": ""199""}"
pelic_1292,spanish,pelic,"Five pieces of advice from the reading:
1. Preparing mind before you want to do some activity or task: make a check list of things that you should have ready to do it.
2. Creating mind movies: Imagining how you can do some activity or task before you do it.
3. Setting the right goals: Always thinking about you will do the best. Focus in it! Planning short-term goals.
4. Catching the flow: Concentrating only in the task. For that, is important to concentrate in some words. 
5. Coping with setbacks: in spite of problems in the development of the task, always think positive. 

• Setting the right goals:
Every morning, before the classes begin, ELI student should think about the own short-term goal of this day. He/She should work to search this goal. For example, always thinking ""I will improve my English with the knowledge that my teachers will give me today"", and student ELI should do the best that he or she can for search it, not concentrate on be the best of the class or have A in all the classes. 

• Coping with setbacks:
In spite of bad grades in some ELI classes, ELI student should think positive and think that he/she can do his/her best for search his goals about improve the English.
For example, students who didn't have good grades in the middle term grades, they should think in positive and notice that they have one month more for improve her/his grades.",248,B1+/B2,1.0,"{""anon_id"": ""gq4"", ""gender"": ""Female"", ""level_id"": ""4"", ""course_id"": ""102"", ""version"": ""1"", ""text_len_nltk"": ""248""}"
pelic_1362,spanish,pelic,"As you can see, Cajun cuisine is an special kind of food of United States, because they combine French, Spanish, African and native american food in an unique way. In addition, the Cajun cuisine is spicer than traditional american food because they include a lot of garlic, spices and hot sauces in their recipes.Finally, people when cook this kind of food, they enjoy every moment to prepare it with their relatives and friends.",73,B2+/C1,1.0,"{""anon_id"": ""ea7"", ""gender"": ""Female"", ""level_id"": ""5"", ""course_id"": ""118"", ""version"": ""1"", ""text_len_nltk"": ""74""}"
pelic_1418,spanish,pelic,"The best meal experience I have ever had was about one year ago, it was my birthday.I went with my parents to the most famous Japanese restaurant of Caracas.When we went there, we coul see a beautiful decoration with many Japanese chairs and tables. First, We ordered three cups of white wine and then we ordered three differents kind of sushi and sashimi; when the waitress brought the sushi and sahimi, they were in a small wooden boat. Finally, when we finished , we ordered three fried ice crean and three cups of cappucino.
I think that it was my best meal experience, because I ate a wonderful Japanese food and I could had a great time with my parents.",120,B2+/C1,1.0,"{""anon_id"": ""ea7"", ""gender"": ""Female"", ""level_id"": ""5"", ""course_id"": ""154"", ""version"": ""1"", ""text_len_nltk"": ""121""}"
pelic_1508,spanish,pelic,"In Venezuela, We have a law against air pollution because several years ago it was the most terrible problem that we had ever had.The Law says that Venezuelan people must throw away the trash every day at specific containers that each neighborhood has.Second, if a person has a car, she/he might mantain the car in excellent condition. For example, they have to change oil each 6 months and use purified gas. About factories,the factories must build out of town to avoid pollution and also they must follow some rules to keep the enveroinment without contamination.",95,B2+/C1,1.0,"{""anon_id"": ""ea7"", ""gender"": ""Female"", ""level_id"": ""5"", ""course_id"": ""154"", ""version"": ""1"", ""text_len_nltk"": ""98""}"
pelic_1601,spanish,pelic,"In the cartoon,there are two men playing two different games at same board. One of them is Bush and the another man is Arabian.First of all, Bush is playing checkers and Arabian man is playing chess. Second, they are using differents strategies as a result they can not talk each other during the game.In addition,they are thinking how they can win since they want to demostrate which one is more powerful.To conclude, both are trying to play really good therefore the play is going to be difficult to win.",89,B2+/C1,1.0,"{""anon_id"": ""ea7"", ""gender"": ""Female"", ""level_id"": ""5"", ""course_id"": ""118"", ""version"": ""1"", ""text_len_nltk"": ""94""}"
pelic_1603,spanish,pelic,"The most interesting experience I have ever had with money was about four years ago. Every Saturday,my father used to play Venezuelan lottery but he did not win any money for more than ten years; one day he asked me : ANON_NAME_0! Can you tell me a number? and I told him: sure! number 8.My father went to a lottery agency and he played the number.Next morning,he saw the results and we won a lot of money.Both of us were happy and we spent a few of money at investments and the rest of our money, we put at the bank.",101,B2+/C1,1.0,"{""anon_id"": ""ea7"", ""gender"": ""Female"", ""level_id"": ""5"", ""course_id"": ""154"", ""version"": ""1"", ""text_len_nltk"": ""105""}"
pelic_1710,spanish,pelic,"1. Folks (Title): noun
Group of people

2. Thrill (3): noun
A sudden wave of keen emotion or excitement, sometimes manifested as a tremor or tingling sensation passing through the body.

3. Reserve (5): noun
Something kept or stored for use or need if it's necessary

4. Rigid (6): adjective
Inflexible, strict, severe, rigorous
* The Doctor prescribe me a rigid diet that I have to full fill for two weeks. 

5. Functional (9): adjective
Having or serving a utilitarian purpose; capable of serving the purpose for which it was designed
* The most functional artifact in the world is the cell phone.

6. Parameter (11): noun
Characteristic or factor; aspect; element

7. Status (11): noun
The position of an individual in relation to another or others
* The ELI saw our financial status before they accepted us in the program.

8. labor of love (9): noun
Work done for the sake of one's own enjoyment or of benefit to others rather than for material rewards

9. stick: verb
To furnish (a plant, vine, etc.) with a stick or sticks in order to prop or support

10. ban: verb
To prohibit, forbid, or bar; interdict",195,B1+/B2,1.0,"{""anon_id"": ""gq4"", ""gender"": ""Female"", ""level_id"": ""4"", ""course_id"": ""102"", ""version"": ""1"", ""text_len_nltk"": ""177""}"
pelic_1852,spanish,pelic,"Yes, he did it. Because he ate for 30 days, three times a day (breakfast, lunch and dinner) Mc Donald's food and as a consequence he gained 24.5 lbs, he developed some problems such as: more cholesterol, chest pain, problems in his breath, several vomits, he felt depressed and exhausted.",50,B1+/B2,1.0,"{""anon_id"": ""gq4"", ""gender"": ""Female"", ""level_id"": ""4"", ""course_id"": ""114"", ""version"": ""1"", ""text_len_nltk"": ""49""}"
pelic_1854,spanish,pelic,"Definitely, the personal experience was most persuasive for me because when he began the Mc Donald's diet his state of health was good, he went to the cardiologist, nutritionist, dietist and they said him that he was very well. But one month later, after 30 days of Mc Donald's diet, his health, his body and his mental health changed.",59,B1+/B2,1.0,"{""anon_id"": ""gq4"", ""gender"": ""Female"", ""level_id"": ""4"", ""course_id"": ""114"", ""version"": ""1"", ""text_len_nltk"": ""60""}"
pelic_1855,spanish,pelic,"I think Mc Donald's food taste good and old people, young people and children like it for many reasons (games and food) but isn't good and isn't healthy. The criteria that I used in my evaluation of the restaurant were the taste of the food that is excellent and the nutritional treats that Mc Donald's food has that is so bad.",61,B1+/B2,1.0,"{""anon_id"": ""gq4"", ""gender"": ""Female"", ""level_id"": ""4"", ""course_id"": ""114"", ""version"": ""1"", ""text_len_nltk"": ""65""}"
pelic_1856,spanish,pelic,"It's an excellent movie, I think it was a good job to make aware people in all the world who consume Mc Donald's food regularly. It' s a bad diet of sugar, high fat, calories and carbs.

 I think that the best message that the film had for us was that Mc Donald's Company doesn't care about our health, the only think that they want is to sell their products and win more and more money.",76,B1+/B2,1.0,"{""anon_id"": ""gq4"", ""gender"": ""Female"", ""level_id"": ""4"", ""course_id"": ""114"", ""version"": ""1"", ""text_len_nltk"": ""80""}"
pelic_2103,spanish,pelic,"Evaluation of the assignment
 
The final Writing Assignment of Chapter 3, ""The high international oil prices"" had as purpose to explain the reasons why the actual international oil prices are very high. The thesis statement that I gave in the essay was good and was developed during the text with support, evidence, details and with overall organization.

 In the assignment I used good support, evidence and details that showed why the actual international high oil prices are the result of elevated demand of petroleum in industrialized countries and restricted supply in countries that produce this product. For instance, I wrote that United States, China and India are countries that are raising the demand of oil. On the other hand, I explained that Organization of the Petroleum Exporting Countries (OPEC) have internal, political and economical problems such as: Venezuela, Nigeria and Iraq. In addition, I explained how these problems affect the internal production and international prices.

 Furthermore, I had a good overall organization and all the ideas were well organized. The essay had one paragraph of introduction, two body paragraphs that explain the high international oil prices because of demand and supply, one paragraph of oil international prices forecast and finally, one paragraph of conclusion. The entire essay was written with a good grammatical structure and it was organized in logical manner with the correct use of transition words such as: furthermore, also and in conclusion. . 

 In conclusion, I think it was my best final Writing Assignment because the topic was interesting; the purpose of the essay was reached as a consequence of the good support, evidence, details that I gave in the organized text.",275,B1+/B2,1.0,"{""anon_id"": ""gq4"", ""gender"": ""Female"", ""level_id"": ""4"", ""course_id"": ""114"", ""version"": ""1"", ""text_len_nltk"": ""273""}"
pelic_2201,spanish,pelic,"I wake up at 7:00. I eat breakfast at 8:00. At 8:30 I take my children at elementary school and then I go to de Pittsburgh University. At 10:00 I have Speaking, at 11:00 I have Listening, at 12:00 I have Grammar and at 14:00 I have Reading Connections.

I come back at home at 15:30; then my family and I eat a lunch. We have a conversation about the school, the work, the home. 

I work until 19:00 or 20:00. At 20:00 we eat a dinner. After to dinner, I make homework and finally I read a little my preferred books.",102,B1,1.0,"{""anon_id"": ""cq6"", ""gender"": ""Male"", ""level_id"": ""3"", ""course_id"": ""201"", ""version"": ""1"", ""text_len_nltk"": ""91""}"
pelic_2395,spanish,pelic,"Job status is not the only indicator of success. Sometimes have a great position in the job does not mean that the person deserves that position. We know that many times a person occupied a good position in a company, because he or she has a soured of influence in the company. It does not happen because he or she work hard for get the position. What really indicate that you are a succeed person is do well what you like to do to live.",85,B1+/B2,1.0,"{""anon_id"": ""dr1"", ""gender"": ""Female"", ""level_id"": ""4"", ""course_id"": ""172"", ""version"": ""1"", ""text_len_nltk"": ""85""}"
pelic_2470,spanish,pelic,"My comfort food is chicken soup, because when I'm tired or ill I eat chicken soup and I feel better.

My comfort food is hamburger, it isn't healthy but contains meat, bread and vegetable.I eat hamburger when I worried.

My comfort food is potato omelette,I like to eat the potato omelette very hot.I like to eat potato omelette when I have a lot of things.

My comfort food is cookies, when I'm worried I need to eat and when I finish I feel better.",84,A2,1.0,"{""anon_id"": ""da6"", ""gender"": ""Female"", ""level_id"": ""2"", ""course_id"": ""156"", ""version"": ""1"", ""text_len_nltk"": ""90""}"
pelic_2494,spanish,pelic,"(Indent) The decision to be an organ donor can save a lot of lives. Some people aren't aware of the importance of organ donation. Statistics show that from one donor it's possible for about 50 recipients to benefit if every organ that could donated is actually donated, and if all of them are able to be transplanted. In spite of this, people believe some myths about organ donation such as: doctors will not try to save their lives if they know someone want to be a donor; the rich and famous on the U.S. waiting list for organs get preferential treatment; donors families will be charged for donating their organs; or their organs will be sold, with enormous profits going to the medical community. To be an organ donor is very worthwhile for people who are waiting for the opportunity of live. In fact, 91,000 men, women and children currently are waiting for transplants. However, an average of 18 people dies each day waiting for an available organ for transplant. Finally, it's decision of each one to become or not an organ donor, but it's important to think that you can save the life of several people, restore and improve the quality of life of many more and help others in need.",212,B2+/C1,1.0,"{""anon_id"": ""gq4"", ""gender"": ""Female"", ""level_id"": ""5"", ""course_id"": ""176"", ""version"": ""1"", ""text_len_nltk"": ""214""}"
pelic_2542,spanish,pelic,"My strengths in writing in English are my focus in my work, for what I am writing. It is my desire to increase the number of strengths at this time this is the best that I can list. For my weaknesses in writing, I feel there are many. I sometimes have difficulties expressing my thoughts in English, since my thoughts are based in the romantic languages, Spanish and Portugese. It is my goal to arrive to the point where I can compose my thoughts in English as well as the other languages that I can speak.",96,B1+/B2,1.0,"{""anon_id"": ""dr1"", ""gender"": ""Female"", ""level_id"": ""4"", ""course_id"": ""172"", ""version"": ""1"", ""text_len_nltk"": ""96""}"
pelic_2569,spanish,pelic,"When I left to the English class in my country, and I spoke with my classmates and after I was going to my house in my car when a car crashed with my car. I out my car and the man the another car spoke with me, he told me that he didn't see the car, while I was speaking with the man I called my parents and I told what happened.

 And after when I finished to speak with my parents I called of tow truck and when I was speaking the man my parents came and they spoke with the man. 

 After when my father spoke with the man, the tow truck was arriving my car. I was very nervous while I was saying goodbye to the man the another car.

 I went to my house with my parents and when I was them, I only could speak about that happened me. While I was going to my house my brother called and I spoke with him.

 I arrived to my house and I dinner while I was speaking with my family, after I went to sleep because I was very nervous.",194,B1,1.0,"{""anon_id"": ""da6"", ""gender"": ""Female"", ""level_id"": ""3"", ""course_id"": ""202"", ""version"": ""1"", ""text_len_nltk"": ""195""}"
pelic_2579,spanish,pelic,"When I was leaving to the English class in my country, I spoke with my classmates and I told goodbye.After I was going to my house in my car when a car crashed with my car. I out my car and the man the another car spoke with me, he told me that he didn't see the car, while I was speaking with the man I called my parents and I told what happened.

 And after when I finished to speak with my parents I called of tow truck. And when I was speaking the man, my parents came and they spoke with the man. 

 After when my father and I spoke with the man, the tow truck was arriving my car. I was very nervous while I was speaking and saying goodbye to the man the another car.

 I went to my house with my parents and when I was with them, I only could speak about that happened me. While I was going to my house my brother called and I spoke with him.

 I arrived to my house and I ate the dinner while I was speaking with my family, after I went to sleep because I was very nervous.",203,B1,1.0,"{""anon_id"": ""da6"", ""gender"": ""Female"", ""level_id"": ""3"", ""course_id"": ""202"", ""version"": ""2"", ""text_len_nltk"": ""205""}"
pelic_2596,spanish,pelic,"February 1st 2007
Writing Assignment – 2nd draft

Analysis of success


First of all, success is considered an achievement

of goals. It varies from culture to culture and 

defines a specific talent. For instance, an 

individual can succeed at work, in the family, 

between friends, in a championship, etc. Of 

course, there are some factors to consider that 

facilitates the reaching of success such as 

economic wealth, work positions, family business, 

social influences, etc. That's the reason why I 

think success is an achievement beyond our regular 

capacities.


Second, succeeding needs effort, effort needs time 

and time is the big disadvantage of success, 

because during that time we leave apart other 

activities (work, family, friends, hobbies, etc.). 

In other words, it's almost impossible to succeed 

in everything. Normally a person is better in one 

aspect than the others and by focusing in the 

primary talent it's common to neglect secondary 

ones. Complementing, success sacrifices time. Time 

able to be used to equilibrate all the areas in 

the day-life of an individual.


To conclude, I believe success has a sociologic 

aspect. It's a proof of what an individual can do 

what is he willing to risk in manner to show our 

superiority as human beings. The society obligates 

the individual to compete for him to succeed. This 

can be related to a social and instinctive 

behavior of survival. Social because it only takes 

place in the society and instinctive because 

competing it's part of our nature.",245,B1+/B2,1.0,"{""anon_id"": ""gx0"", ""gender"": ""Male"", ""level_id"": ""4"", ""course_id"": ""171"", ""version"": ""1"", ""text_len_nltk"": ""249""}"
pelic_2635,spanish,pelic,"Relationship

Sentence: I understand how difficult it must be to have a career like yours and a relationship as well.
Part of Speech: noun
Definition: a situation in which two people have sexual or romantic feelings for each other. 

Career

Sentence: I understand how difficult it must be to have a career like yours and a relationship as well.
Part of Speech: noun
Definition: a job or profession that you have been trained for and intend to do for a long time.

Insist

Sentence: I was never very happy with that decision but Vic insisted, so I finally agree to sign the document.
Part of Speech: verb
Definition: to demand that something happen.

Suitable

Sentence: We no longer think that ANON_NAME_0 would be a suitable guardian.
Part of Speech: adjective
Definition: right or acceptable for a particular person, purpose, or situation.

Irresponsible

Sentence: Hi is just too irresponsible to take care of children.
Part of Speech: adjective
Definition: doing careless things without thinking about the possible bad results.

Wonder

Sentence: We were wondering if you would be willing to be Meredith and Andrew's guardian?
Part of Speech: verb
Definition: used in order to politely ask for something 

Guardian

Sentence: We were wondering if you would be willing to be Meredith and Andrew's guardian?
Part of Speech: noun
Definition: someone who is legally responsible for a child.",226,B1,1.0,"{""anon_id"": ""cq6"", ""gender"": ""Male"", ""level_id"": ""3"", ""course_id"": ""157"", ""version"": ""1"", ""text_len_nltk"": ""229""}"
pelic_2717,spanish,pelic,"(Indent)The Carnival of Barranquilla is the most important representation of the fascinating and interesting Colombian culture. Every year trough February 17 to February 20, the city of Barranquilla, located in the attractive Caribbean Coast of Colombia, is destination of thousands of Colombians and foreign people who really want to enjoy great music, amazing street dances and unique masquerade parades. The carnival begins with the Battle of the Flowers parade, filled with colorful floats. The next day, the Grand Parade takes place and the Queen of the Carnival dances many exotics styles of Colombian music with the parade's bands, such as: cumbia, paloteo (Spanish), congo (African) and indigenous. Then, on the third day, there is an incredible Orchestra Festival in which many bands participate in a competition and people enjoy and danced cheerfully with the bands. Finally, the last day of the Carnival, people represent the burial of ""Joselio Carnival"", that means the Carnival is over. In conclusion, this big event that is one of the world's largest Carnivals, represents the entire culture of Colombia and is well known around the world; in fact, in November of 2003, UNESCO proclaimed it as one of 28 different ""masterpieces of the oral and intangible heritage of humanity"".",204,B2+/C1,1.0,"{""anon_id"": ""gq4"", ""gender"": ""Female"", ""level_id"": ""5"", ""course_id"": ""176"", ""version"": ""1"", ""text_len_nltk"": ""203""}"
pelic_2741,spanish,pelic,"ANON_NAME_0
Feb 2, 2007
Final Writing Ch 1 Rev.

 MY WRITING HABITS:

 I think that a comfortable environment 


can make that I study better. For example, 


before I'm going to study, I always do exactly 


things because I need to study with a clean 


desk and chair, notebook, pencil, pen and 


highlighter. Also I have to change my clothes 


and I wear sweat pants, sweat shirt… and I make 


a cup of tea with milk. However I can 


study in different place in the house; sometimes 


I study in the bedroom and sometimes I 


study in the dining room. But I need bright 


light, warm temperature, and the place should 


be quiet sound.


 I like to study in the early afternoon 


because after I can go to the bed early, but I 


study when I can. Then I can start study and 


first I do the homework for that day and 


after I study if I have a test. I like to study: 


write and rewrite the information, highlight 


important ideas in the book and read new ideas 


several times. For example, when I have a 


test I like to read more about the test, I don't 


only read the information the teacher tell in 


the class.


 In conclusion when I go to study I need to 


be prepared and then I can start.",224,B1,1.0,"{""anon_id"": ""da6"", ""gender"": ""Female"", ""level_id"": ""3"", ""course_id"": ""169"", ""version"": ""1"", ""text_len_nltk"": ""224""}"
pelic_2751,spanish,pelic,"I disagreed with this statement. I think that good luck is 50% of have success and the another 50% is competence. My point is, if you are compete but you never have oportunite of show it, you are not lucky person. Although, if you are in the right pleace at the right time you are lucky. You can make to happen. So be successful is be in the right pleace at the right moment and have competence to realice it. Nevertheless, to be a successful person you need to have competence and be luck to make your oportunites.",98,B1+/B2,1.0,"{""anon_id"": ""dr1"", ""gender"": ""Female"", ""level_id"": ""4"", ""course_id"": ""172"", ""version"": ""1"", ""text_len_nltk"": ""96""}"
pelic_2757,spanish,pelic,"MY WRITING HABITS:

 I think that a comfortable environment 


can make that I study better. For example, 


before I'm going to study, I always do exactly 


things because I need to study with a clean 


desk and chair, notebook, pencil, pen and 


highlighter. Also I have to change my clothes 


and I wear sweat pants, sweat shirt… and I make 


a cup of tea with milk. However I can 


study in different place in the house; sometimes 


I study in the bedroom and sometimes I 


study in the dining room. But I need bright 


light, warm temperature, and the place should 


be quiet sound.


 I like to study in the early afternoon 


because after I can go to the bed early, but I 


study when I can. Then I can start study and 


first I do the homework for that day and 


after I study if I have a test. I like to study: 


write and rewrite the information, highlight 


important ideas in the book and read new ideas 


several times. For example, when I have a 


test I like to read more about the test, I don't 


only read the information the teacher tell in 


the class.


 In conclusion when I go to study I need to 


be prepared and then I can start.",215,B1,1.0,"{""anon_id"": ""da6"", ""gender"": ""Female"", ""level_id"": ""3"", ""course_id"": ""169"", ""version"": ""2"", ""text_len_nltk"": ""217""}"
pelic_2762,spanish,pelic,"I used to live in Spain. And here in the week, I used to work in the morning and the afternoon, I used to visit my grandmother and my family in the evening and I used to go English class on Tuesday and Thursday. And the weekend I used to go to the cinema, I used to clean my house and car, I used to go with my friends and I used to go the beach until November. And I used to go to the mall for shopping with my mother and I used to go different restaurant for lunch or dinner with my parents and my brother.

 Now, I'm living in Pittsburgh, I'm learning English in University of Pittsburgh and I'm living with my family. Here I'm doing different things: I'm shopping in different places that my country, I'm eating in different restaurant and I'm eating different food, I'm visiting sister's friends and I'm speaking with people of different nationalities. Also I'm cleaning the house and I'm making the food in the weekend.",174,B1,1.0,"{""anon_id"": ""da6"", ""gender"": ""Female"", ""level_id"": ""3"", ""course_id"": ""202"", ""version"": ""1"", ""text_len_nltk"": ""186""}"
pelic_2784,spanish,pelic,"I met one of my best friends during an exchange trip in Germany. Nile was one year younger than me, but we used to hang out in the weekends with some of my other friends. the first time we met us i was riding the bus back home, we sat together and started to get to know each other. One time we organized a ""black & white"" party and spent the money we won in a expensive restaurant. We ate a well served steak with baden potatoes. However the worst part was that i was leaving within 6 months and we wouldn't see us after that. And that was what happened, we lost contact and we never spoke again.",119,B1+/B2,1.0,"{""anon_id"": ""gx0"", ""gender"": ""Male"", ""level_id"": ""4"", ""course_id"": ""204"", ""version"": ""1"", ""text_len_nltk"": ""118""}"
pelic_2786,spanish,pelic,"Hi, my name is Macarena, I am from South America Uruguay. I grew up in Rivera a city in my country. When I was a teenager my parents moved to Brazil, so I spent half of my teens in Brazil. Now, I am living in Pittsburgh, in the U.S. I moved here from NY, where I was living with my sister to live here with my boyfriend. I have been living here for two years. Pittsburgh is a very different city from what I am used to. Most of my life I have lived in big cities such as Rio de Janeiro and New York City. Pittsburgh is not an easy city of get around, especially with the public transportation that Pittsburgh has. Before I moved here, I did not know it was so complicated to move around this city without a car. In Pittsburgh you need a car to go anywhere, and I do not drive yet. It is in my plans to learn to drive. In Pittsburgh knowing how to drive is a necessity.",176,B1+/B2,1.0,"{""anon_id"": ""dr1"", ""gender"": ""Female"", ""level_id"": ""4"", ""course_id"": ""205"", ""version"": ""1"", ""text_len_nltk"": ""177""}"
